Index,"Major area, region, country or area",Notes,code,Alpha-code,Location Type Code,Location Type Name,Region Code,Region Name,Major Area Code,Major Area Name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2012 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2011-year(maxHIV),UNAIDS 2010 revision,UNAIDS 2012 revision,Difference (%) base=2010 revision,"Countries or areas with a population of less than 90,000 by end-2013"
136,Poland,,616,POL,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.13785,Yes,No,No,No,No,0.14456,2011,0,0.1,0.14456,44.56,No
137,Republic of Moldova,13,498,MDA,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.477452584,Yes,No,No,No,No,0.536100723,2011,0,0.4,0.536100723,34.02518084,No
138,Romania,,642,ROU,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.11463,Yes,No,No,No,No,0.124,2003,8,0.1,0.109,9,No
139,Russian Federation,,643,RUS,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.98471,Yes,No,No,No,No,1.11,2011,0,1,1.11,11,No
140,Slovakia,,703,SVK,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
141,Ukraine,,804,UKR,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.90284,Yes,No,No,No,No,1.04,2007,4,1.1,0.75957,-30.94818182,No
142,Northern Europe,,924,,3,Region,924,Northern Europe,908,Europe,,,,,,,,,,,,,,,,,,
143,Channel Islands,14,830,CHI,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
144,Denmark,,208,DNK,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.18361,Yes,No,No,No,No,0.1943,2011,0,0.2,0.1943,-2.85,No
145,Estonia,,233,EST,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,1.23,No,Yes,No,No,No,1.27,2011,0,1.2,1.27,5.833333333,No
146,Faeroe Islands,,234,FRO,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
147,Finland,15,246,FIN,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.09211,Yes,No,No,No,No,0.09776,2011,0,0.1,0.09776,-2.24,No
148,Iceland,,352,ISL,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.26116,Yes,No,No,No,No,0.2675,2011,0,0.3,0.2675,-10.83333333,No
149,Ireland,,372,IRL,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.28125,Yes,No,No,No,No,0.29192,2011,0,0.2,0.29192,45.96,No
150,Isle of Man,,833,IMN,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
151,Latvia,,428,LVA,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.71716,Yes,No,No,No,No,0.7354,2011,0,0.7,0.7354,5.057142857,No
152,Lithuania,,440,LTU,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.06781,Yes,No,No,No,No,0.07,2011,0,0.1,0.07,-30,No
153,Norway,16,578,NOR,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.14837,Yes,No,No,No,No,0.14896,2011,0,0.1,0.14896,48.96,No
154,Sweden,,752,SWE,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.1607,Yes,No,No,No,No,0.16299,2005,6,0.1,0.15958,59.58,No
155,United Kingdom,,826,GBR,4,Country/Area,924,Northern Europe,908,Europe,Yes,No,No,No,No,0.25535,Yes,No,No,No,No,0.25824,2011,0,0.2,0.25824,29.12,No
156,Southern Europe,,925,,3,Region,925,Southern Europe,908,Europe,,,,,,,,,,,,,,,,,,
157,Albania,,8,ALB,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
158,Andorra,,20,AND,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
159,Bosnia and Herzegovina,,70,BIH,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
160,Croatia,,191,HRV,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
161,Gibraltar,,292,GIB,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
162,Greece,,300,GRC,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,0.16905,Yes,No,No,No,No,0.17497,2011,0,0.1,0.17497,74.97,No
163,Holy See,17,336,VAT,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
164,Italy,,380,ITA,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,0.38964,Yes,No,No,No,No,0.41194,2001,10,0.3,0.3794,26.46666667,No
165,Malta,,470,MLT,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,0.09985,Yes,No,No,No,No,0.10111,2011,0,0.1,0.10111,1.11,No
166,Montenegro,,499,MNE,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
167,Portugal,,620,PRT,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,0.70735,Yes,No,No,No,No,0.72591,2011,0,0.6,0.72591,20.985,No
168,San Marino,,674,SMR,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
169,Serbia,18,688,SRB,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,0.0575,Yes,No,No,No,No,0.0973,1989,22,0.1,0.05956,-40.44,No
170,Slovenia,,705,SVN,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
171,Spain,19,724,ESP,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,0.43172,Yes,No,No,No,No,0.49289,1998,13,0.4,0.42769,6.9225,No
172,TFYR Macedonia,20,807,MKD,4,Country/Area,925,Southern Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
173,Western Europe,,926,,3,Region,926,Western Europe,908,Europe,,,,,,,,,,,,,,,,,,
174,Austria,,40,AUT,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,0.33791,Yes,No,No,No,No,0.39128,2011,0,0.3,0.39128,30.42666667,No
175,Belgium,,56,BEL,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,0.30896,Yes,No,No,No,No,0.34657,2011,0,0.2,0.34657,73.285,No
176,France,,250,FRA,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,0.38123,Yes,No,No,No,No,0.38785,2011,0,0.4,0.38785,-3.0375,No
177,Germany,,276,DEU,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,0.14148,Yes,No,No,No,No,0.15112,2011,0,0.1,0.15112,51.12,No
178,Liechtenstein,,438,LIE,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
179,Luxembourg,,442,LUX,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,0.29205,Yes,No,No,No,No,0.29511,2011,0,0.3,0.29511,-1.63,No
180,Monaco,,492,MCO,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
181,Netherlands,,528,NLD,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,0.23909,Yes,No,No,No,No,0.24264,2011,0,0.2,0.24264,21.32,No
182,Switzerland,,756,CHE,4,Country/Area,926,Western Europe,908,Europe,Yes,No,No,No,No,0.39154,Yes,No,No,No,No,0.39951,2011,0,0.4,0.39951,-0.1225,No
183,LATIN AMERICA AND THE CARIBBEAN,,904,,2,Major Area,904,Latin America and the Caribbean,900,World,,,,,,,,,,,,,,,,,,
184,Caribbean,,915,,3,Region,915,Caribbean,904,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,
185,Anguilla,,660,AIA,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
186,Antigua and Barbuda,,28,ATG,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
187,Aruba,,533,ABW,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
188,Bahamas,,44,BHS,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,2.9,No,Yes,No,No,No,4.04,1993,18,3.1,2.76,-10.96774194,No
189,Barbados,,52,BRB,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.86529,Yes,No,No,No,No,0.86957,2010,1,1.4,0.86704,-38.06857143,No
190,British Virgin Islands,,92,VGB,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
191,Caribbean Netherlands,21,535,BES,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
192,Cayman Islands,,136,CYM,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
193,Cuba,,192,CUB,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.13399,Yes,No,No,No,No,0.17028,2011,0,0.1,0.17028,70.28,No
194,Curaçao,,531,CUW,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
195,Dominica,,212,DMA,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
196,Dominican Republic,,214,DOM,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.75778,Yes,No,No,No,No,1.04,1998,13,0.9,0.71024,-21.08444444,No
197,Grenada,,308,GRD,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
198,Guadeloupe,22,312,GLP,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
199,Haiti,,332,HTI,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,Yes,No,Yes,1.9,No,Yes,No,No,No,3.3,1993,18,1.9,1.8,-5.263157895,No
200,Jamaica,,388,JAM,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,1.84,No,Yes,No,No,No,2.53,1998,13,1.7,1.78,4.705882353,No
201,Martinique,,474,MTQ,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
202,Montserrat,,500,MSR,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
203,Puerto Rico,,630,PRI,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
204,Saint Kitts and Nevis,,659,KNA,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
205,Saint Lucia,,662,LCA,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
206,Saint Vincent and the Grenadines,,670,VCT,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
207,Sint Maarten (Dutch part),,534,SXM,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
208,Trinidad and Tobago,,780,TTO,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,1.47,No,Yes,No,No,No,1.47,2009,2,1.5,1.47,-2,No
209,Turks and Caicos Islands,,796,TCA,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
210,United States Virgin Islands,,850,VIR,4,Country/Area,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
211,Central America,,916,,3,Region,916,Central America,904,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,
212,Belize,,84,BLZ,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,2.39,No,Yes,No,No,No,2.39,2004,7,2.3,2.28,-0.869565217,No
213,Costa Rica,,188,CRI,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.28373,Yes,No,No,No,No,0.28747,2011,0,0.3,0.28747,-4.176666667,No
214,El Salvador,,222,SLV,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.56311,Yes,No,No,No,No,0.62617,2011,0,0.8,0.62617,-21.72875,No
215,Guatemala,,320,GTM,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.68474,Yes,No,No,No,No,0.79174,2011,0,0.8,0.79174,-1.0325,No
216,Honduras,,340,HND,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,0.74641,Yes,No,No,No,No,2.81,1995,16,0.8,0.63916,-20.105,No
217,Mexico,,484,MEX,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.24555,Yes,No,No,No,No,0.24555,2009,2,0.3,0.24459,-18.47,No
218,Nicaragua,,558,NIC,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.16997,Yes,No,No,No,No,0.20943,2011,0,0.2,0.20943,4.715,No
219,Panama,,591,PAN,4,Country/Area,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.84148,Yes,No,No,No,No,1.6,1997,14,0.9,0.76621,-14.86555556,No
220,South America,,931,,3,Region,931,South America,904,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,
221,Argentina,,32,ARG,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.36404,Yes,No,No,No,No,0.37131,2011,0,0.5,0.37131,-25.738,No
222,Bolivia (Plurinational State of),,68,BOL,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.29052,Yes,No,No,No,No,0.60877,1989,22,0.2,0.25903,29.515,No
223,Brazil,,76,BRA,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.3432,Yes,No,No,No,No,0.3947,2000,11,[0.3 – 0.6],0.32873,…,No
224,Chile,,152,CHL,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.47195,Yes,No,No,No,No,0.48404,2004,7,0.4,0.4613,15.325,No
225,Colombia,,170,COL,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.52854,Yes,No,No,No,No,0.54424,2004,7,0.5,0.51495,2.99,No
226,Ecuador,,218,ECU,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.41639,Yes,No,No,No,No,0.44218,2004,7,0.4,0.40513,1.2825,No
227,Falkland Islands (Malvinas),,238,FLK,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
228,French Guiana,,254,GUF,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
229,Guyana,,328,GUY,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,1.22,No,Yes,No,No,No,1.92,2000,11,1.2,1.06,-11.66666667,No
230,Paraguay,,600,PRY,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.2677,Yes,No,No,No,No,0.32625,2011,0,0.3,0.32625,8.75,No
231,Peru,,604,PER,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.39945,Yes,No,No,No,No,0.57045,1997,14,0.4,0.40438,1.095,No
232,Suriname,,740,SUR,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,1.16,No,Yes,No,No,No,3.33,1996,15,1,0.95151,-4.849,No
233,Uruguay,,858,URY,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.59629,Yes,No,No,No,No,0.63104,2005,6,0.5,0.59998,19.996,No
234,Venezuela (Bolivarian Republic of),,862,VEN,4,Country/Area,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,0.52206,Yes,No,No,No,No,0.54559,2011,0,…,0.54559,…,No
235,NORTHERN AMERICA,,905,,2,Major Area,905,Northern America,900,World,,,,,,,,,,,,,,,,,,
236,Bermuda,,60,BMU,4,Country/Area,905,Northern America,905,Northern America,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
237,Canada,,124,CAN,4,Country/Area,905,Northern America,905,Northern America,Yes,No,No,No,No,0.31047,Yes,No,No,No,No,0.31909,2011,0,0.2,0.31909,59.545,No
238,Greenland,,304,GRL,4,Country/Area,905,Northern America,905,Northern America,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
239,Saint Pierre and Miquelon,,666,SPM,4,Country/Area,905,Northern America,905,Northern America,Yes,No,No,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
240,United States of America,,840,USA,4,Country/Area,905,Northern America,905,Northern America,Yes,No,No,No,No,0.65447,Yes,No,No,No,No,0.65483,2010,1,0.6,0.65384,8.973333333,No
241,OCEANIA,,909,,2,Major Area,909,Oceania,900,World,,,,,,,,,,,,,,,,,,
242,Australia/New Zealand,,927,,3,Region,927,Australia/New Zealand,909,Oceania,,,,,,,,,,,,,,,,,,
243,Australia,23,36,AUS,4,Country/Area,927,Australia/New Zealand,909,Oceania,Yes,No,No,No,No,0.15751,Yes,No,No,No,No,0.16474,2011,0,0.1,0.16474,64.74,No
244,New Zealand,,554,NZL,4,Country/Area,927,Australia/New Zealand,909,Oceania,Yes,No,No,No,No,0.09472,Yes,No,No,No,No,0.09969,2011,0,0.1,0.09969,-0.31,No
245,Melanesia,,928,,3,Region,928,Melanesia,909,Oceania,,,,,,,,,,,,,,,,,,
246,Fiji,,242,FJI,4,Country/Area,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
247,New Caledonia,,540,NCL,4,Country/Area,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
248,Papua New Guinea,,598,PNG,4,Country/Area,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,0.69572,Yes,No,No,No,No,0.7797,2002,9,0.9,0.68157,-24.27,No
249,Solomon Islands,,90,SLB,4,Country/Area,928,Melanesia,909,Oceania,No,Yes,Yes,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
250,Vanuatu,,548,VUT,4,Country/Area,928,Melanesia,909,Oceania,No,Yes,Yes,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
251,Micronesia,,954,,3,Region,954,Micronesia,909,Oceania,,,,,,,,,,,,,,,,,,
252,Guam,,316,GUM,4,Country/Area,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
253,Kiribati,,296,KIR,4,Country/Area,954,Micronesia,909,Oceania,No,Yes,Yes,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
254,Marshall Islands,,584,MHL,4,Country/Area,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
255,Micronesia (Fed. States of),,583,FSM,4,Country/Area,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
256,Nauru,,520,NRU,4,Country/Area,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
257,Northern Mariana Islands,,580,MNP,4,Country/Area,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
258,Palau,,585,PLW,4,Country/Area,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
259,Polynesia,24,957,,3,Region,957,Polynesia,909,Oceania,,,,,,,,,,,,,,,,,,
260,American Samoa,,16,ASM,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
261,Cook Islands,,184,COK,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
262,French Polynesia,,258,PYF,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
263,Niue,,570,NIU,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
264,Samoa,,882,WSM,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,Yes,No,No,…,…,…,…,…,…,…,…,…,…,…,…,No
265,Tokelau,,772,TKL,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
266,Tonga,,776,TON,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
267,Tuvalu,,798,TUV,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,Yes,No,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
268,Wallis and Futuna Islands,,876,WLF,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
