countryName,unCountryCode,alphaCode
WORLD,900,
More developed regions,901,
Less developed regions,902,
Least developed countries,941,
"Less developed regions, excluding least developed countries",934,
"Less developed regions, excluding China",948,
Sub-Saharan Africa,947,
AFRICA,903,
Eastern Africa,910,
Burundi,108,BDI
Comoros,174,COM
Djibouti,262,DJI
Eritrea,232,ERI
Ethiopia,231,ETH
Kenya,404,KEN
Madagascar,450,MDG
Malawi,454,MWI
Mauritius,480,MUS
Mayotte,175,MYT
Mozambique,508,MOZ
R�union,638,REU
Rwanda,646,RWA
Seychelles,690,SYC
Somalia,706,SOM
South Sudan,728,SSD
Uganda,800,UGA
United Republic of Tanzania,834,TZA
Zambia,894,ZMB
Zimbabwe,716,ZWE
Middle Africa,911,
Angola,24,AGO
Cameroon,120,CMR
Central African Republic,140,CAF
Chad,148,TCD
Congo,178,COG
Democratic Republic of the Congo,180,COD
Equatorial Guinea,226,GNQ
Gabon,266,GAB
Sao Tome and Principe,678,STP
Northern Africa,912,
Algeria,12,DZA
Egypt,818,EGY
Libya,434,LBY
Morocco,504,MAR
Sudan,729,SDN
Tunisia,788,TUN
Western Sahara,732,ESH
Southern Africa,913,
Botswana,72,BWA
Lesotho,426,LSO
Namibia,516,NAM
South Africa,710,ZAF
Swaziland,748,SWZ
Western Africa,914,
Benin,204,BEN
Burkina Faso,854,BFA
Cape Verde,132,CPV
C�te d'Ivoire,384,CIV
Gambia,270,GMB
Ghana,288,GHA
Guinea,324,GIN
Guinea-Bissau,624,GNB
Liberia,430,LBR
Mali,466,MLI
Mauritania,478,MRT
Niger,562,NER
Nigeria,566,NGA
Saint Helena,654,SHN
Senegal,686,SEN
Sierra Leone,694,SLE
Togo,768,TGO
ASIA,935,
Eastern Asia,906,
China,156,CHN
"China, Hong Kong SAR",344,HKG
"China, Macao SAR",446,MAC
Dem. People's Republic of Korea,408,PRK
Japan,392,JPN
Mongolia,496,MNG
Republic of Korea,410,KOR
Other non-specified areas,158,TWN
South-Central Asia,921,
Central Asia,5500,
Kazakhstan,398,KAZ
Kyrgyzstan,417,KGZ
Tajikistan,762,TJK
Turkmenistan,795,TKM
Uzbekistan,860,UZB
Southern Asia,5501,
Afghanistan,4,AFG
Bangladesh,50,BGD
Bhutan,64,BTN
India,356,IND
Iran (Islamic Republic of),364,IRN
Maldives,462,MDV
Nepal,524,NPL
Pakistan,586,PAK
Sri Lanka,144,LKA
South-Eastern Asia,920,
Brunei Darussalam,96,BRN
Cambodia,116,KHM
Indonesia,360,IDN
Lao People's Democratic Republic,418,LAO
Malaysia,458,MYS
Myanmar,104,MMR
Philippines,608,PHL
Singapore,702,SGP
Thailand,764,THA
Timor-Leste,626,TLS
Viet Nam,704,VNM
Western Asia,922,
Armenia,51,ARM
Azerbaijan,31,AZE
Bahrain,48,BHR
Cyprus,196,CYP
Georgia,268,GEO
Iraq,368,IRQ
Israel,376,ISR
Jordan,400,JOR
Kuwait,414,KWT
Lebanon,422,LBN
Oman,512,OMN
Qatar,634,QAT
Saudi Arabia,682,SAU
State of Palestine,275,PSE
Syrian Arab Republic,760,SYR
Turkey,792,TUR
United Arab Emirates,784,ARE
Yemen,887,YEM
EUROPE,908,
Eastern Europe,923,
Belarus,112,BLR
Bulgaria,100,BGR
Czech Republic,203,CZE
Hungary,348,HUN
Poland,616,POL
Republic of Moldova,498,MDA
Romania,642,ROU
Russian Federation,643,RUS
Slovakia,703,SVK
Ukraine,804,UKR
Northern Europe,924,
Channel Islands,830,CHI
Denmark,208,DNK
Estonia,233,EST
Faeroe Islands,234,FRO
Finland,246,FIN
Iceland,352,ISL
Ireland,372,IRL
Isle of Man,833,IMN
Latvia,428,LVA
Lithuania,440,LTU
Norway,578,NOR
Sweden,752,SWE
United Kingdom,826,GBR
Southern Europe,925,
Albania,8,ALB
Andorra,20,AND
Bosnia and Herzegovina,70,BIH
Croatia,191,HRV
Gibraltar,292,GIB
Greece,300,GRC
Holy See,336,VAT
Italy,380,ITA
Malta,470,MLT
Montenegro,499,MNE
Portugal,620,PRT
San Marino,674,SMR
Serbia,688,SRB
Slovenia,705,SVN
Spain,724,ESP
TFYR Macedonia,807,MKD
Western Europe,926,
Austria,40,AUT
Belgium,56,BEL
France,250,FRA
Germany,276,DEU
Liechtenstein,438,LIE
Luxembourg,442,LUX
Monaco,492,MCO
Netherlands,528,NLD
Switzerland,756,CHE
LATIN AMERICA AND THE CARIBBEAN,904,
Caribbean,915,
Anguilla,660,AIA
Antigua and Barbuda,28,ATG
Aruba,533,ABW
Bahamas,44,BHS
Barbados,52,BRB
British Virgin Islands,92,VGB
Caribbean Netherlands,535,BES
Cayman Islands,136,CYM
Cuba,192,CUB
Cura�ao,531,CUW
Dominica,212,DMA
Dominican Republic,214,DOM
Grenada,308,GRD
Guadeloupe,312,GLP
Haiti,332,HTI
Jamaica,388,JAM
Martinique,474,MTQ
Montserrat,500,MSR
Puerto Rico,630,PRI
Saint Kitts and Nevis,659,KNA
Saint Lucia,662,LCA
Saint Vincent and the Grenadines,670,VCT
Sint Maarten (Dutch part),534,SXM
Trinidad and Tobago,780,TTO
Turks and Caicos Islands,796,TCA
United States Virgin Islands,850,VIR
Central America,916,
Belize,84,BLZ
Costa Rica,188,CRI
El Salvador,222,SLV
Guatemala,320,GTM
Honduras,340,HND
Mexico,484,MEX
Nicaragua,558,NIC
Panama,591,PAN
South America,931,
Argentina,32,ARG
Bolivia (Plurinational State of),68,BOL
Brazil,76,BRA
Chile,152,CHL
Colombia,170,COL
Ecuador,218,ECU
Falkland Islands (Malvinas),238,FLK
French Guiana,254,GUF
Guyana,328,GUY
Paraguay,600,PRY
Peru,604,PER
Suriname,740,SUR
Uruguay,858,URY
Venezuela (Bolivarian Republic of),862,VEN
NORTHERN AMERICA,905,
Bermuda,60,BMU
Canada,124,CAN
Greenland,304,GRL
Saint Pierre and Miquelon,666,SPM
United States of America,840,USA
OCEANIA,909,
Australia/New Zealand,927,
Australia,36,AUS
New Zealand,554,NZL
Melanesia,928,
Fiji,242,FJI
New Caledonia,540,NCL
Papua New Guinea,598,PNG
Solomon Islands,90,SLB
Vanuatu,548,VUT
Micronesia,954,
Guam,316,GUM
Kiribati,296,KIR
Marshall Islands,584,MHL
Micronesia (Fed. States of),583,FSM
Nauru,520,NRU
Northern Mariana Islands,580,MNP
Palau,585,PLW
Polynesia,957,
American Samoa,16,ASM
Cook Islands,184,COK
French Polynesia,258,PYF
Niue,570,NIU
Samoa,882,WSM
Tokelau,772,TKL
Tonga,776,TON
Tuvalu,798,TUV
Wallis and Futuna Islands,876,WLF